reported crime,reported violent crime,police funding per resident,graduated hs25,teens in hs,inCollege,graduated college25
478,184,40,74,11,31,20
494,213,32,72,11,43,18
643,347,57,70,18,16,16
341,565,31,71,11,25,19
773,327,67,72,9,29,24
603,260,25,68,8,32,15
484,325,34,68,12,24,14
546,102,33,62,13,28,11
424,38,36,69,7,25,12
548,226,31,66,9,58,15
506,137,35,60,13,21,9
819,369,30,81,4,77,36
541,109,44,66,9,37,12
491,809,32,67,11,37,16
514,29,30,65,12,35,11
371,245,16,64,10,42,14
457,118,29,64,12,21,10
437,148,36,62,7,81,27
570,387,30,59,15,31,16
432,98,23,56,15,50,15
619,608,33,46,22,24,8
357,218,35,54,14,27,13
623,254,38,54,20,22,11
547,697,44,45,26,18,8
792,827,28,57,12,23,11
799,693,35,57,9,60,18
439,448,31,61,19,14,12
867,942,39,52,17,31,10
912,1017,27,44,21,24,9
462,216,36,43,18,23,8
859,673,38,48,19,22,10
805,989,46,57,14,25,12
652,630,29,47,19,25,9
776,404,32,50,19,21,9
919,692,39,48,16,32,11
732,1517,44,49,13,31,14
657,879,33,72,13,13,22
1419,631,43,59,14,21,13
989,1375,22,49,9,46,13
821,1139,30,54,13,27,12
1740,3545,86,62,22,18,15
815,706,30,47,17,39,11
760,451,32,45,34,15,10
936,433,43,48,26,23,12
863,601,20,69,23,7,12
783,1024,55,42,23,23,11
715,457,44,49,18,30,12
1504,1441,37,57,15,35,13
1324,1022,82,72,22,15,16
940,1244,66,67,26,18,16
