,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,5,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4,4,3,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,5,4,4,5,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,5,5,5,4,4,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,4,4,5,5,5,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5,4,5,5,4,5,5,5,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,5,5,4,4,5,4,4,4,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5,5,5,5,4,5,4,5,5,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,5,5,5,4,4,5,5,5,5,4,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,5,5,4,4,5,5,5,4,5,4,5,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,5,5,4,5,5,5,5,5,5,4,5,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
18,5,4,5,4,5,4,5,5,4,4,5,5,5,5,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
19,5,5,5,5,5,4,5,5,5,5,4,5,4,4,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0
20,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0
21,5,5,4,4,5,4,5,5,5,4,5,4,5,4,5,5,5,5,2,1,1,1,0,0,0,0,0,0,0,0
22,5,5,4,5,5,5,4,4,5,5,4,4,4,5,5,5,5,4,3,2,1,1,1,0,0,0,0,0,0,0
23,5,4,4,4,5,5,4,5,5,5,5,4,4,5,4,5,4,5,4,2,1,1,1,1,0,0,0,0,0,0
24,5,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,2,2,2,1,1,1,0,0,0,0,0
25,4,4,4,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,4,2,3,3,1,1,1,1,0,0,0,0
26,5,4,4,4,5,5,5,5,5,5,5,4,4,3,5,5,4,4,5,2,2,1,2,2,1,1,1,0,0,0
27,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,5,4,5,5,3,3,1,3,2,1,1,1,1,0,0
28,5,4,4,5,5,4,4,4,5,5,4,5,4,4,5,5,4,4,5,3,4,2,2,3,2,2,2,2,1,0
29,4,5,5,4,5,5,4,4,5,5,5,5,5,4,5,5,4,3,5,4,4,3,3,2,3,3,3,3,2,1
30,5,5,5,4,5,4,5,4,4,4,5,5,5,4,5,4,5,3,5,4,3,4,3,2,4,4,3,3,3,1
31,5,5,4,5,5,5,5,4,3,4,4,5,5,5,5,5,5,4,5,5,4,5,4,3,2,2,2,2,4,2
32,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,3,3,3,3,2
33,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,3,3,4,4,4,3
34,4,5,5,4,5,4,5,5,5,5,4,4,5,5,4,4,4,4,5,4,5,4,5,5,3,3,3,2,2,4
35,4,5,5,4,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,3,2,2,5
36,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4,4,5,4,5,5,5,3,3,3,5
37,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,3,4,3,3
38,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,4,5,4,3,4,4,3,3
39,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,4,4
40,4,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,4,4,4,4,5,5,4,5,5,4,5,4,5,5
41,5,5,5,5,5,5,5,5,4,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
42,5,4,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,5,5,5
43,5,5,4,5,5,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4
44,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5
45,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,4,3,4
46,5,4,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4
47,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,4,5,5,5,5,4,4,5,4,4,4,5,5
